Year(Release_Date),Publisher(s),Count(*)
1970,"TOWER Development",1
1970,"Trion Worlds",1
1970,"Tunnel Vision Studio",1
1970,"Turtle Cream",1
1970,"Two Tribes",1
1970,"Uber Entertainment",1
1970,Ubisoft,4
1970,"Underbite Games",1
1970,"Unknown Worlds Entertainment",3
1970,Untame,1
1970,ValuSoft,4
1970,"Vault Interactive",1
1970,"Warhead Entertainment",1
1970,"Wastelands Interactive",1
1970,"WEB Gaming Entertainment",1
1970,Webzen,2
1970,Windflow,1
1970,"Wizards of the Coast LLC",53
1970,Wolfire,1
1970,"WONDERFUL LASERS",1
1970,"YoYo Games Ltd.",1
1970,"Ysbryd Games",1
1970,Yuki,1
1970,"Zach Tsiakalis-Brown",1
1979,"Warner Bros.",1
1997,"Stainless Games Ltd",1
1998,Valve,1
1999,Valve,2
2000,Valve,3
2001,"Nordic Games",1
2001,"Spiderweb Software",1
2001,Valve,2
2003,"Spiderweb Software",1
2003,"Topware Interactive",1
2003,Valve,1
2004,"Epic Games, Inc.",1
2004,Valve,7
2005,"2K Games",1
2005,"Introversion Software",2
2005,"Mark Healey",1
2005,"Spiderweb Software",1
2005,"Square Enix",1
2005,Valve,3
2006,"2K Games",4
2006,ACE,1
2006,Activision,5
2006,"Aspyr (Mac)",1
2006,"Blazing Griffin Ltd.",4
2006,"Double Fine Productions",1
2006,Egosoft,2
2006,Frozenbyte,2
2006,Funkitron,1
2006,"GSC Game World",2
2006,"Introversion Software",3
2006,"Klei Entertainment",2
2006,Majesco,6
2006,Meridian4,4
2006,"Naked Sky Entertainment",2
2006,"PopCap Games, Inc.",17
2006,"Ritual Entertainment",3
2006,SEGA,1
2006,SimBin,4
2006,"Spiderweb Software",1
2006,"Strategy First",18
2006,Techland,2
2006,"Topware Interactive",1
2006,"Tripwire Interactive",1
2006,Ubisoft,3
2006,Valve,3
2007,"2K Games",12
2007,Activision,3
2007,"Arkane Studios",2
2007,"Aspyr (Mac)",1
2007,Atari,3
2007,"Big Fish Games",1
2007,"BioWare Corporation",1
2007,"Bohemia Interactive",1
2007,Capcom,4
2007,"Chronic Logic",1
2007,Codemasters,3
2007,"Electronic Arts",1
2007,"Feral Interactive (Linux)",3
2007,"Feral Interactive (Mac)",4
2007,"Focus Home Interactive",9
2007,Frozenbyte,1
2007,Funcom,3
2007,"GSC Game World",2
2007,"HD Publishing",3
2007,"id Software",26
2007,"Merge Games",4
2007,Meridian4,11
2007,"Monte Cristo",1
2007,"Nordic Games",14
2007,"PopCap Games, Inc.",7
2007,Rebellion,1
2007,SEGA,15
2007,SimBin,4
2007,"Square Enix",13
2007,"SQUARE ENIX, Eidos Interactive",19
2007,"Strategy First",5
2007,Techland,1
2007,"Telltale Games",1
2007,THQ,3
2007,Valve,4
2008,"1C Company",1
2008,1C-777,2
2008,1C-SoftClub,2
2008,"2D BOY ",2
2008,"2K Games",6
2008,Activision,2
2008,"Aspyr (Mac)",1
2008,Atari,5
2008,"Bethesda Softworks",1
2008,"Bit Blot, LLC",1
2008,blurredVision,2
2008,"Bohemia Interactive",1
2008,"Buka Entertainment",3
2008,"Candella Systems Ltd",1
2008,"CD PROJEKT RED",1
2008,"Chronic Logic",1
2008,"CINEMAX, s.r.o.",2
2008,Codemasters,1
2008,D3Publisher,1
2008,"D3Publisher of America, Inc.",1
2008,"Dark Castle Software",2
2008,Deck13,1
2008,"Dejobaan Games, LLC",2
2008,Egosoft,1
2008,"Electronic Arts",12
2008,Empires,2
2008,"Epic Games, Inc.",3
2008,Exkee,1
2008,"EXOR Studios",1
2008,"Focus Home Interactive",4
2008,Frogames,2
2008,Frogwares,2
2008,Frozenbyte,1
2008,"Games Faction",2
2008,"GSC World Publishing",1
2008,"Hidden Path Entertainment",1
2008,"Hothead Games",4
2008,"InterWave Studios",1
2008,"Introversion Software",2
2008,ISOTX,1
2008,"Kalypso Media Digital",1
2008,"Konami Digital Entertainement GmbH",1
2008,"Konami Digital Entertainment, Inc.",1
2008,"Last Day of Work",10
2008,Meridian4,7
2008,"Missing Link Games",1
2008,Moonpod,4
2008,MumboJumbo,22
2008,"New World Interactive",1
2008,"Nordic Games",2
2008,"Nunchuck Games",2
2008,"Oddworld Inhabitants",4
2008,"Paradox Interactive",5
2008,"Perpetual FX Creative",1
2008,"PopCap Games, Inc.",5
2008,"Q Entertainment Inc.",3
2008,"RedLynx Ltd.",2
2008,Retroism,1
2008,"Rockstar Games",8
2008,SEGA,5
2008,"Shorebound Studios",1
2008,"Silver Sphere Studios",2
2008,SimBin,5
2008,Slam,2
2008,"Soldak Entertainment",1
2008,"SouthPeak Games",3
2008,"Spiderweb Software",1
2008,"Square Enix",3
2008,"SQUARE ENIX, Eidos Interactive",5
2008,"Strategy First",6
2008,"TaleWorlds Entertainment",2
2008,Techland,1
2008,"Telltale Games",8
2008,THQ,2
2008,"Tilted Mill Entertainment, Inc.",5
2008,"Tommo Inc.",1
2008,"Tripwire Interactive",1
2008,Ubisoft,51
2008,ValuSoft,10
2008,Valve,2
2008,"Viva Media",6
2008,"Warner Bros. Interactive Entertainment",1
2008,"Zombie Panic Team",1
2009,"1C Company",26
2009,1C-SoftClub,19
2009,"2K Games",8
2009,"2K Sports",1
2009,3000AD,6
2009,"ACE Team",2
2009,Activision,8
2009,"Amanita Design",4
2009,"Arcen Games, LLC",2
2009,"Aspyr (Mac)",10
2009,"Aspyr Media, Inc.",1
2009,Atari,2
2009,"Basilisk Games",2
2009,"BattleGoat Studios",1
2009,"Bethesda Softworks",11
2009,"bitComposer Games",3
2009,"Black Forest Games",1
2009,"Black Jacket Studios",2
2009,"Bohemia Interactive",4
2009,"Boll AG",1
2009,"Broken Rules",2
2009,"Candella Systems Ltd",1
2009,Capcom,11
2009,"CI Games",2
2009,"Citeremis Inc.",1
2009,"City Interactive",1
2009,Codemasters,11
2009,D3,1
2009,D3Publisher,2
2009,"D3Publisher of America, Inc.",2
2009,"Darklight Games",1
2009,"Deep Silver",8
2009,"Dejobaan Games, LLC",1
2009,"Devolver Digital",2
2009,DiezelPower,2
2009,"Digital Eel",1
2009,"Digital Tribe",1
2009,"Disney Interactive",35
2009,"Dovetail Games",13
2009,"Dovetail Games - Trains",8
2009,"Dovetail Games – Trains",2
2009,"Dream Forge Entertainment, LLC",1
2009,"DTP Entertainment",3
2009,Elecorn,2
2009,"Electronic Arts",17
2009,"Enlight Entertainment Europe Ltd.",1
2009,"Enlight Software Limited",1
2009,"Epic Games, Inc.",1
2009,"Erik Svedäng",2
2009,"Feral Interactive (Linux)",5
2009,"Feral Interactive (Mac)",7
2009,"Freeze Tag Inc.",1
2009,"Frictional Games",4
2009,Frima,1
2009,Frogwares,4
2009,Frozenbyte,3
2009,Futuremark,1
2009,"Game Factory Interactive",4
2009,Gamerizon,2
2009,"Headup Games",4
2009,"Hemisphere Games",2
2009,"Her Interactive",22
2009,"Hidden Path Entertainment",1
2009,"Interplay Inc.",6
2009,"Inventive Dingo",2
2009,"inXile Entertainment",1
2009,"inXile Entertainment, inc.",1
2009,iWin,12
2009,"Jason Rohrer",1
2009,"Kalypso Media Digital",11
2009,Kloonigames,2
2009,"Konami Digital Entertainment GmbH",1
2009,"Konami Digital Entertainment, Inc.",1
2009,"KranX Productions",4
2009,"Last Day of Work",2
2009,"Llamasoft LTD",1
2009,LucasArts,39
2009,Lucasfilm,35
2009,"Makivision Games",2
2009,"Matrix Games/GMX Media",1
2009,Meridian4,7
2009,"Mindstorm Studios",2
2009,Miniclip.com,2
2009,"Missing Link Games",1
2009,Mousechief,1
2009,MumboJumbo,9
2009,NCsoft,4
2009,"ND Games",4
2009,Nimblebit,1
2009,"Nimbly Games",2
2009,"Nordic Games",13
2009,NovaLogic,17
2009,"Number None",3
2009,"Omni Systems ",2
2009,"Oxeye Game Studio",2
2009,"Paleo Entertainment",1
2009,"Paradox Interactive",24
2009,"Phantom EFX",2
2009,Playbrains,3
2009,PlayFirst,10
2009,"PopCap Games, Inc.",17
2009,"Positech Games",3
2009,RailSimulator.com,15
2009,Ratloop,1
2009,Rebellion,3
2009,"Red Rocket Games",4
2009,"Revolution Software Ltd",2
2009,"Runic Games",2
2009,"Sabi Games",2
2009,SaintXi,2
2009,"Sakari Indie",1
2009,"Sandlot Games",16
2009,SEGA,11
2009,"Sigma Team Inc.",14
2009,SimBin,3
2009,"Size Five Games",2
2009,"Smashball Labs LLC",1
2009,"SouthPeak Games",3
2009,"SQUARE ENIX",8
2009,"SQUARE ENIX, Eidos Interactive",14
2009,"Strategy First",9
2009,"Tale of Tales",5
2009,"Telltale Games",10
2009,"Thinking Studios",2
2009,THQ,3
2009,"Three Donkeys LLC",1
2009,"Topware Interactive",2
2009,"Tripwire Interactive",3
2009,TrueThought,1
2009,"Twisted Pixel Games",5
2009,"U.S. Army",1
2009,Ubisoft,14
2009,ValuSoft,1
2009,Valve,1
2009,"Vectorpark, Inc.",1
2009,"Viva Media",5
2009,Wargaming.net,3
2009,"Warner Bros. Interactive Entertainment",6
2009,Yullaby,1
2009,"Zombie Cow Studios",1
2010,"1C Company",26
2010,1C-SoftClub,26
2010,"2K Games",17
2010,"2K Play",2
2010,"2K Sports",1
2010,4sdk,1
2010,Activision,7
2010,"Arcen Games, LLC",6
2010,"Artery Games",1
2010,"Artery Studios",1
2010,"Aspyr (Mac)",4
2010,"Aspyr (Mac, Linux)",8
2010,"astragon Entertainment GmbH",2
2010,Atari,4
2010,b,1
2010,"Basilisk Games",1
2010,"Beatnik Games",1
2010,"Bethesda Softworks",8
2010,"Big Fish Games",14
2010,BigSims.com,6
2010,"Binary Takeover",1
2010,"bitComposer Games",1
2010,"Blendo Games",4
2010,"Blind Mind Studios",2
2010,"Bohemia Interactive",11
2010,Brawsome,2
2010,"Brian Cronin",1
2010,"Cadenza Interactive",2
2010,Capcom,5
2010,"Carpe Fulgur LLC",2
2010,CCP,1
2010,"CI Games",2
2010,"CINEMAX, s.r.o.",2
2010,Codemasters,1
2010,"Cold Beam Games",3
2010,"Cyan Worlds",3
2010,"Daedalic Entertainment",1
2010,"Dedication Games",2
2010,"Deep Silver",5
2010,"Devlover Digital",2
2010,"Devolver Digital",6
2010,"Disney Interactive",7
2010,"Dmytry Lavrov",2
2010,"DnS Development",2
2010,"Doctor Entertainment",2
2010,"Dovetail Games - Trains",12
2010,Egosoft,2
2010,"Electronic Arts",17
2010,"exosyphen studios",4
2010,"Factus Games",2
2010,Fatshark,1
2010,"Feral Interactive (Linux)",1
2010,"Feral Interactive (Mac)",8
2010,Firemint,1
2010,"Focus Home Interactive",2
2010,"Fox Interactive",1
2010,"Frictional Games",2
2010,"Gaijin Entertainment",5
2010,"Gaijin Games",1
2010,"Giants Software",2
2010,GrendelGames,2
2010,"GSC Game World",1
2010,"GSC World Publishing",1
2010,"Hassey Enterprises, Inc.",2
2010,"Headup Games",3
2010,"Her Interactive",1
2010,"Hi-Rez Studios",2
2010,"Hidden Path Entertainment",4
2010,"Iceberg Interactive",1
2010,"Ignition Entertainment",1
2010,"inner seas",3
2010,"Instinct Software Ltd.",1
2010,"Interplay Inc.",2
2010,ISOTX,2
2010,iWin,11
2010,"Kalypso Media Digital",10
2010,"Klei Entertainment",2
2010,"Konami Digital Entertainment GmbH",4
2010,"Konami Digital Entertainment, Inc.",5
2010,"Kreatoriet AB",1
2010,"Llamasoft LTD",1
2010,LucasArts,7
2010,Lucasfilm,7
2010,Ludosity,2
2010,"Ludosity Interactive",1
2010,"Lunar Giant Studios",1
2010,"Merge Games",1
2010,Meridian4,6
2010,"Muse Games",2
2010,"Muzzy Lane Software",2
2010,"N3V Games",5
2010,"Namco Networks America, Inc.",4
2010,NASA,1
2010,NCsoft,1
2010,"ND Games",1
2010,"Nemesys Games",1
2010,"Nemesys Team Studio",1
2010,"New Star Games Ltd",2
2010,"Nordic Games",13
2010,"Noumenon Games",2
2010,"Octoshark Studios",2
2010,"Oddworld Inhabitants",2
2010,OneBigGame,1
2010,"Over the Top Games",2
2010,"P2 Games",1
2010,"Paradox Interactive",26
2010,Petroglyph,2
2010,PikPok,1
2010,Playbrains,6
2010,PlayFirst,10
2010,"Playrix Entertainment",2
2010,"PopCap Games, Inc.",1
2010,"Positech Games",3
2010,RailSimulator.com,12
2010,"React Games",2
2010,Rebellion,1
2010,"Relentless Software",2
2010,Retroism,1
2010,"Revolution Software Ltd",2
2010,"Rockstar Games",1
2010,"Ronimo Games",1
2010,"Sandlot Games",3
2010,"Secret Exit Ltd.",1
2010,SEGA,51
2010,Sidhe,1
2010,"Soldak Entertainment",1
2010,"Sonic Boom Games",8
2010,"Source Studio Ltd.",2
2010,"Square Enix",13
2010,"SQUARE ENIX, Eidos Interactive",26
2010,"Stickmen Studios",1
2010,"Strategy First",6
2010,"Strategy First Inc.",1
2010,Subsoap,1
2010,"TaleWorlds Entertainment",2
2010,"Team17 Digital Ltd",7
2010,"Team17 Software Ltd.",4
2010,"Telltale Games",16
2010,"Terry Cavanagh",2
2010,"The Fighter Collection",1
2010,"The Games Company",2
2010,"Three Donkeys LLC",1
2010,"Tomkorp Computer Solutions Inc.",2
2010,"Tommo Inc.",1
2010,"Tripwire Interactive",5
2010,"Triumph Studios",3
2010,TWELVE,1
2010,"Two Tribes",4
2010,Ubisoft,17
2010,"United Independent Entertainment",1
2010,Valve,2
2010,"Vanguard Entertainment Group",1
2010,"Viva Media",1
2010,"Wadjet Eye Games",1
2010,"Warner Bros. Interactive Entertainment",6
2010,"While True Fork",2
2010,"Wizards of the Coast LLC",1
2010,"Wolfire Games",1
2010,Youdagames,6
2010,Yullaby,1
2010,"Zaratustra Productions",1
2010,"Zero Rock Entertainment",1
2010,ZoopTEK,1
2011,"11 bit studios",1
2011,"1C Company",21
2011,1C-SoftClub,23
2011,2DEngine,1
2011,"2K Games",8
2011,"2K Sports",1
2011,"800 North and Digital Ranch",1
2011,Activision,7
2011,"Aeria Games",2
2011,Akella,4
2011,Alientrap,1
2011,"Alientrap Games Inc",2
2011,"Amanita Design",1
2011,"Arcen Games, LLC",1
2011,"Artery Games",1
2011,"Artery Studios",1
2011,"Aspyr (Mac)",3
2011,"Aspyr (Mac, Linux)",5
2011,Atari,16
2011,ATLUS,1
2011,"Bethesda Softworks",17
2011,"Big Fat Alien",2
2011,"Big Fish Games",2
2011,"Big Sandwich Games",4
2011,BigSims.com,6
2011,"bitComposer Games",6
2011,"Blendo Games",2
2011,"BlueGiant Interactive",2
2011,"Bohemia Interactive",6
2011,Capcom,13
2011,"Carpe Fulgur LLC",2
2011,Chillingo,2
2011,"CI Games",1
2011,"Cipher Prime Studios",1
2011,"Citeremis Inc.",1
2011,"Cobra Mobile",1
2011,Codemasters,3
2011,"Coffee Stain Studios",4
2011,"Cold Beam Games",2
2011,"Colibri Games",2
2011,"Copenhagen Game Productions",1
2011,"Crytek GmbH",2
2011,"Cyan Worlds",1
2011,"D3Publisher of America, Inc.",4
2011,"Dark Energy Digital Ltd.",1
2011,"Daybreak Game Company",4
2011,"Days of Wonder",1
2011,"Dead Mage",1
2011,"Deep Silver",7
2011,"Dejobaan Games, LLC",2
2011,"Devolver Digital",3
2011,"Devolver Digital and Croteam ",2
2011,"Digital Eel",2
2011,"Disney Interactive",2
2011,"DnS Development",2
2011,"Double Fine Productions",1
2011,"Dovetail Games - Trains",13
2011,"Dovetail Games -Trains",2
2011,"Edmund McMillen",1
2011,Egosoft,1
2011,"Electronic Arts",27
2011,"Endlessfluff Games",1
2011,"Epic Quest Games",2
2011,"exosyphen studios",3
2011,"Extend Studio",1
2011,Fatshark,3
2011,"Feral Interactive (Mac)",13
2011,"Final Form Games",2
2011,"Fish Factory Games",1
2011,"Flying Wild Hog",1
2011,"Focus Home Interactive",5
2011,Frozenbyte,1
2011,Funcom,1
2011,"Future Studios",2
2011,"Future US, Inc.",1
2011,"Gaijin Games",3
2011,"Gambitious Digital Entertainment",1
2011,Gamersfirst,1
2011,"Games Farm",2
2011,"Gaslamp Games, Inc.",2
2011,"Geoff Keighley",1
2011,"Giant Army",1
2011,"Giants Software",6
2011,"Gravity Europe SAS",8
2011,"GSC World Publishing",7
2011,"Hazardous Software Inc.",2
2011,"Headup Games ",3
2011,"Her Interactive",5
2011,"Hi-Rez Studios",1
2011,"Hidden Path Entertainment",1
2011,"Hothead Games",2
2011,"Iceberg Interactive",2
2011,"Immanitas Entertainment GmbH",3
2011,"inner seas",2
2011,"Interplay Inc.",1
2011,ISOTX,1
2011,"Jason Rohrer",1
2011,"Just A Game GmbH",2
2011,"Kalypso Media Digital",21
2011,"Konami Digital Entertainment GmbH",1
2011,"Konami Digital Entertainment, Inc.",1
2011,"Kot in Action Creative Artel",5
2011,"Krystian Majewski",1
2011,Layernet,1
2011,Libredia,4
2011,LoadComplete,1
2011,LucasArts,2
2011,Lucasfilm,2
2011,"Lunar Giant Studios",1
2011,"Manic Game Studios",2
2011,"Merge Games",1
2011,Meridian4,16
2011,"Michael Brough",1
2011,"Microsoft Studios",1
2011,"MinMax Games Ltd.",2
2011,"Mode 7",2
2011,MumboJumbo,2
2011,Murudai,2
2011,"Muse Games",1
2011,"Mystic Box",2
2011,"N3V Games",3
2011,"Namco Networks America, Inc.",1
2011,"Nemesys Games",5
2011,"Next Dimension Game Adventures Ltd.",2
2011,"NGD Studios",3
2011,Nicalis,3
2011,NinjaBee,2
2011,NinjaBee.com,2
2011,"Nordic Games",10
2011,"Nyu Media",2
2011,"Online Warmongers Group Inc.",1
2011,"ORiGO GAMES",3
2011,"Paradox Interactive",57
2011,"Perfect World Entertainment",5
2011,"Peter Brinson and Kurosh ValaNejad",1
2011,Petroglyph,2
2011,Playbrains,1
2011,Playdead,2
2011,"Pom Pom Games",3
2011,"Positech Games",2
2011,"Puppy Games",1
2011,"RaceRoom Entertainment AG",1
2011,RailSimulator.com,18
2011,Re-Logic,1
2011,"Recoil Games",1
2011,"Red Redemption",4
2011,"Reloaded Games",1
2011,"Robot Entertainment",3
2011,"Rockin' Android",6
2011,"Rockstar Games",5
2011,"Sandswept Studios",2
2011,"Secret Base",2
2011,SEGA,64
2011,Sidhe,1
2011,"Sigma Team Inc.",1
2011,"Signo & Arte",2
2011,SimBin,5
2011,"Slitherine Ltd.",5
2011,"Smestorp Limited",2
2011,"Sony Online Entertainment",3
2011,"Sony Online Entertainment, LLC.",1
2011,"Spiderweb Software",2
2011,"Square Enix",8
2011,"SQUARE ENIX, Eidos Interactive",5
2011,"Squid In A Box Ltd",1
2011,"Stardock Entertainment",6
2011,"State of Play Games",1
2011,"Stout Games",2
2011,"Strategy First",6
2011,"Streum On Studio",1
2011,"Stunlock Studios",1
2011,"Swing Swing Submarine",2
2011,"TaleWorlds Entertainment",2
2011,"Team17 Digital Ltd",11
2011,"Telltale Games",4
2011,THQ,2
2011,"Three Donkeys LLC",1
2011,"Three Rings",1
2011,"TimeGate Studios",11
2011,"Topware Interactive",3
2011,"Total Eclipse",2
2011,"Total Eclipse Games",1
2011,"Total Eclipse P.C.",1
2011,"Trendy Entertainment",8
2011,"Trion Worlds",1
2011,"Tripwire Interactive",6
2011,"Two Tribes",2
2011,"Uber Entertainment",2
2011,Ubisoft,26
2011,ValuSoft,5
2011,Valve,2
2011,"Vanguard Games",1
2011,"Viva Media",5
2011,VivaMedia,1
2011,"Vogster Entertainment",1
2011,"Wadjet Eye Games",1
2011,"Warner Bros. Interactive Entertainment",9
2011,"White Rabbit Interactive",1
2011,"Wizards of the Coast LLC",6
2011,"WXP Games, LLC",2
2011,YeaBoing,1
2011,Zachtronics,3
2011,"Zeboyd Games",2
2011,Zeroscale,2
2012,"1C Company",4
2012,1C-SoftClub,2
2012,"2K Games",17
2012,"2x2 Games",3
2012,"3 Sprockets ",1
2012,"38 Studios",4
2012,7Sixty,1
2012,"ACD Systems International Inc.",1
2012,Activision,25
2012,Akella,3
2012,"Aleksey Abramenko",1
2012,"Almost Human Games",1
2012,"Amanita Design",1
2012,"AMPLITUDE Studios",2
2012,Ankama,2
2012,"Ankama Games",1
2012,"Arcen Games, LLC",3
2012,Array,2
2012,"Aspyr ",3
2012,"Aspyr (Mac & Linux)",7
2012,"Aspyr (Mac)",4
2012,"Aspyr (Mac, Linux)",3
2012,"Aspyr Media, Inc.",3
2012,"BANDAI NAMCO Entertainment",7
2012,"BANDAI NAMCO Games",2
2012,"BBC Worldwide",1
2012,"Ben Prunty Music",1
2012,"Benjamin Rivers",1
2012,"Bethesda Softworks",7
2012,"Big Robot Ltd",1
2012,BigSims.com,2
